title,titulation,academic,time
Escola de Direito do Porto da Universidade Católica Portuguesa,PhD,Constitutional Law/ Fundamental Rights,2010-2015
Pontifícia Universidade Católica do Rio Grande do Sul,International Mobility for Professors,Direito Constitucional/ Direitos Fundamentais/ Justiça Constitucional,2016-2016
Escola de Direito do Porto da Universidade Católica Portuguesa,"Master and Doctor Degrees Course in Political, Constitutional, European and International Law","Direito Público (Internacional, Europeu, Constitucional e Administrativo)",2005-2007
Escola de Direito do Porto da Universidade Católica Portuguesa,Major in Law (5 years degree),Direito,1999-2004
Colégio Horizonte,Titulacion: No encontrada,Academia: No encontrada,1984-1998
